model,variant,source,stage,dataset,precision,recall,f1,map50,map50_95,map75,mean_matched_iou,median_matched_iou,median_latency_ms,p95_latency_ms,fps,model_size_mb,export,endpoint_or_checkpoint,notes
YOLOv8s,s,local_ultralytics,validation,road-damage-detection-bbox-v1 valid,0.6456556002275727,0.4036371617580785,0.4967357126449516,0.4210221322118935,0.2342069568913021,,,,11.706499994033948,14.737414995033758,85.42262849781197,21.47202491760254,D:\INSTANT TRAINING\2nd Sprint\2nd project\models\exports\YOLOv8s_road_damage.onnx,D:\INSTANT TRAINING\2nd Sprint\2nd project\runs\YOLOv8s\baseline_seed42\weights\best.pt,Local YOLOv8s checkpoint; selected production runtime.
YOLOv8s,s,local_ultralytics,test,road-damage-detection-bbox-v1 test,0.6211078618428041,0.535116869117234,0.5749146952377733,0.5830592840841512,0.3468239614039282,,0.751942791280624,0.774968333910023,11.706499994033948,14.737414995033758,85.42262849781197,21.47202491760254,D:\INSTANT TRAINING\2nd Sprint\2nd project\models\exports\YOLOv8s_road_damage.onnx,D:\INSTANT TRAINING\2nd Sprint\2nd project\runs\YOLOv8s\baseline_seed42\weights\best.pt,Untouched local test split; selected production runtime. Threshold 0.25 for IoU/prediction export.
YOLO11n,n,roboflow_hosted,validation,roadddd-9ducw v2 valid,,,,0.420338134240887,0.24429269006065163,0.22986272616310813,,,,,,,,https://serverless.roboflow.com/roadddd-9ducw/2,Roboflow hosted fine-tune tarek-amr-7rdkn/roadddd-9ducw-2-yolo11n-t1; local .pt weights are not available through current API permissions.
YOLO11n,n,roboflow_hosted,test,roadddd-9ducw v2 test,0.637,0.608,0.614,0.5942403636206843,0.3682958083886161,0.3657583649976355,,,,,,,,https://serverless.roboflow.com/roadddd-9ducw/2,Roboflow hosted fine-tune tarek-amr-7rdkn/roadddd-9ducw-2-yolo11n-t1; local .pt weights are not available through current API permissions.
YOLO26s,s,roboflow_hosted,validation,roadddd-9ducw v2 valid,,,,0.38990860550272327,0.22838667711885213,0.2312521009321456,,,,,,,,https://serverless.roboflow.com/roadddd-9ducw/2,Roboflow hosted fine-tune tarek-amr-7rdkn/roadddd-9ducw-2-yolo26s-t2; local .pt weights are not available through current API permissions.
YOLO26s,s,roboflow_hosted,test,roadddd-9ducw v2 test,0.593,0.552,0.563,0.5231178690407762,0.317128264516019,0.3193023309571143,,,,,,,,https://serverless.roboflow.com/roadddd-9ducw/2,Roboflow hosted fine-tune tarek-amr-7rdkn/roadddd-9ducw-2-yolo26s-t2; local .pt weights are not available through current API permissions.
