model,variant,source,stage,map50_95,recall,median_latency_ms,p95_latency_ms,fps,model_size_mb,deployment_metrics_complete,passes_p95_latency,passes_fps,passes_model_size,passes_validation_recall,pareto_frontier,blocking_reasons,notes
YOLOv8s,s,local_ultralytics,validation,0.2342069568913021,0.4036371617580785,11.706499994033948,14.737414995033758,85.42262849781197,21.47202491760254,True,True,True,True,False,True,validation recall is below constraint,Local YOLOv8s checkpoint; selected production runtime.
YOLO11n,n,roboflow_hosted,validation,0.24429269006065163,,,,,,False,,,,,False,"missing deployment metrics: median_latency_ms, p95_latency_ms, fps, model_size_mb",Roboflow hosted fine-tune tarek-amr-7rdkn/roadddd-9ducw-2-yolo11n-t1; local .pt weights are not available through current API permissions.
YOLO26s,s,roboflow_hosted,validation,0.22838667711885213,,,,,,False,,,,,False,"missing deployment metrics: median_latency_ms, p95_latency_ms, fps, model_size_mb",Roboflow hosted fine-tune tarek-amr-7rdkn/roadddd-9ducw-2-yolo26s-t2; local .pt weights are not available through current API permissions.
